timeEpoch,timeRaw,testId,testName,runId,runNumber,runTotalNumber,subjectId,subjectNumber,subjectTotalNumber,assistanceId,assistanceNumber,prsEntrance,prsExit,prsTest1_N,prsTest2_N,actDistance,distanceSP,actLoadMC_1,actLoadMC_2,actLoadMC_3,actLoadMC_4,fr_MC,mxr_MC,myr_MC,xr_MC,,dr_MC,hurdleA_Acc_x,hurdleA_Acc_y,hurdleA_Acc_z,hurdleA_Acc_Mod,hurdleA_ShockDO,hurdleB_Acc_x,hurdleB_Acc_y,hurdleB_Acc_z,hurdleB_Acc_Mod,hurdleB_ShockDO,hurdleC_Acc_x,hurdleC_Acc_y,hurdleC_Acc_z,hurdleC_Acc_Mod,hurdleC_ShockDO,panelA_Acc_x,panelA_Acc_y,panelA_Acc_z,panelA_Acc_Mod,panelA_ShockDO,panelB_Acc_x,panelB_Acc_y,panelB_Acc_z,panelB_Acc_Mod,panelB_ShockDO
1591351299256,Fri Jun 05 2020 12:01:39 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,0,1,0,1,899,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351299346,Fri Jun 05 2020 12:01:39 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,0,1,0,1,899,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351299545,Fri Jun 05 2020 12:01:39 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351299868,Fri Jun 05 2020 12:01:39 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351299961,Fri Jun 05 2020 12:01:39 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351300163,Fri Jun 05 2020 12:01:40 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.60,0.80,-0.50,0.30,11.77,-2.94,4.41,-0.25,0.38,0.45,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351300363,Fri Jun 05 2020 12:01:40 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,899,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351300563,Fri Jun 05 2020 12:01:40 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351300763,Fri Jun 05 2020 12:01:40 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351300963,Fri Jun 05 2020 12:01:40 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351301272,Fri Jun 05 2020 12:01:41 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,908,900,0.60,0.80,-0.50,0.20,8.83,-7.36,4.41,-0.83,0.50,0.97,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351301368,Fri Jun 05 2020 12:01:41 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,900,900,0.60,0.90,-0.50,0.20,9.81,-7.36,5.89,-0.75,0.60,0.96,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351301568,Fri Jun 05 2020 12:01:41 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.60,1.60,-0.50,0.20,16.68,-7.36,16.19,-0.44,0.97,1.07,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351301953,Fri Jun 05 2020 12:01:41 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.70,3.40,-0.30,0.20,37.28,-4.41,45.62,-0.12,1.22,1.23,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351302089,Fri Jun 05 2020 12:01:42 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,899,900,0.80,5.60,0.00,0.20,62.78,0.00,82.40,0.00,1.31,1.31,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351302295,Fri Jun 05 2020 12:01:42 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.80,6.20,0.00,0.10,68.67,0.00,91.23,0.00,1.33,1.33,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351302382,Fri Jun 05 2020 12:01:42 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.70,5.90,0.00,0.10,64.75,0.00,86.82,0.00,1.34,1.34,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
1591351302582,Fri Jun 05 2020 12:01:42 GMT+0200 (Central European Summer Time),T_5eda16f8825b82483b0ff8cf,TestDani_20200605_2,R_5eda16f8825b82483b0ff8d5,4,2,S_5eda16f8825b82483b0ff8d1,2,2,A_5ed6f10b8112c3da019daffe,5,1,1,1,1,898,900,0.70,5.40,0.00,0.10,59.84,0.00,79.46,0.00,1.33,1.33,1.1,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5,1.1,2.2,3.3,4.4,5.5
